['opel', 'samara', 6]
['opel', 'omsk', 3]
['opel', 'rostov-na-donu', 18]
['opel', 'ufa', 5]
['opel', 'krasnoyarsk', 5]
['opel', 'voronezh', 8]
['opel', 'perm', 15]
['opel', 'volgograd', 4]
['peugeot', 'moskva', 27]
['peugeot', 'sankt-peterburg', 8]
['peugeot', 'novosibirsk', 3]
['peugeot', 'ekaterinburg', 7]
['peugeot', 'kazan', 6]
['peugeot', 'nizhniy_novgorod', 4]
['peugeot', 'chelyabinsk', 6]
['peugeot', 'samara', 4]
['peugeot', 'omsk', 2]
['peugeot', 'rostov-na-donu', 9]
['peugeot', 'ufa', 4]
['peugeot', 'krasnoyarsk', 3]
['peugeot', 'voronezh', 4]
['peugeot', 'perm', 7]
['peugeot', 'volgograd', 2]
['porsche', 'moskva', 21]
['porsche', 'sankt-peterburg', 5]
['porsche', 'novosibirsk', 2]
['porsche', 'ekaterinburg', 3]
['porsche', 'kazan', 3]
['porsche', 'nizhniy_novgorod', 2]
['porsche', 'chelyabinsk', 3]
['porsche', 'samara', 2]
['porsche', 'omsk', 2]
['porsche', 'rostov-na-donu', 4]
['porsche', 'ufa', 1]
['porsche', 'krasnoyarsk', 2]
['porsche', 'voronezh', 2]
['porsche', 'perm', 3]
['porsche', 'volgograd', 1]
['renault', 'moskva', 54]
['renault', 'sankt-peterburg', 18]
['renault', 'novosibirsk', 8]
['renault', 'ekaterinburg', 20]
['renault', 'kazan', 24]
['renault', 'nizhniy_novgorod', 12]
['renault', 'chelyabinsk', 19]
['renault', 'samara', 9]
['renault', 'omsk', 5]
['renault', 'rostov-na-donu', 18]
['renault', 'ufa', 10]
['renault', 'krasnoyarsk', 6]
['renault', 'voronezh', 11]
['renault', 'perm', 23]
['renault', 'volgograd', 6]
['subaru', 'moskva', 14]
['subaru', 'sankt-peterburg', 5]
['subaru', 'novosibirsk', 7]
['subaru', 'ekaterinburg', 5]
['subaru', 'kazan', 4]
['subaru', 'nizhniy_novgorod', 2]
['subaru', 'chelyabinsk', 5]
['subaru', 'samara', 3]
['subaru', 'omsk', 2]
['subaru', 'rostov-na-donu', 4]
['subaru', 'ufa', 2]
['subaru', 'krasnoyarsk', 4]
['subaru', 'voronezh', 2]
['subaru', 'perm', 6]
['subaru', 'volgograd', 1]
['suzuki', 'moskva', 15]
['suzuki', 'sankt-peterburg', 6]
['suzuki', 'novosibirsk', 5]
['suzuki', 'ekaterinburg', 4]
['suzuki', 'kazan', 5]
['suzuki', 'nizhniy_novgorod', 3]
['suzuki', 'chelyabinsk', 4]
['suzuki', 'samara', 3]
['suzuki', 'omsk', 2]
['suzuki', 'rostov-na-donu', 4]
['suzuki', 'ufa', 2]
['suzuki', 'krasnoyarsk', 3]
['suzuki', 'voronezh', 3]
['suzuki', 'perm', 5]
['suzuki', 'volgograd', 2]
